"low10-1.cel","low10-2.cel","high10-1.cel","high10-2.cel","low48-1.cel","low48-2.cel","high48-1.cel","high48-2.cel"
"1000_at",0.55856926632634,0.57856034662447,0.737329833212377,0.643013936318155,0.200234405488648,0.219078712472932,0.158252314555543,0.209883391798263
"1001_at",3.12532093159497,3.00175079625151,3.20885941393685,2.32332887031829,1.04225627248782,1.61871623530051,2.22716862221759,1.01025250069099
"1002_f_at",2.77545673017713,2.52605062500219,2.85715477039808,2.41941505682552,1.86911451803069,1.85033901394592,1.44208409342896,1.70229133344837
"1003_s_at",3.54147310217788,2.87197399219137,2.72146291584113,2.15390603869981,1.40509734353645,1.03723647802102,0.958090841676896,1.3678346089866
"1004_at",2.50330986469329,2.37177530500148,2.58847391627219,2.28470088610904,0.79669236253578,1.08565066298963,0.618833513180352,0.561866066247326
"1005_at",0.571296572441012,0.560458965698955,1.25303776532228,1.14098160170538,0.172802804685973,0.172706917160807,0.57856751212464,0.495209944409762
"1006_at",2.05668891983778,2.08152453956878,1.92055318777222,1.79790666149056,0.777530435559346,0.923021878124197,1.07143586895675,1.17836834533386
"1007_s_at",0.254314654540425,0.243404139829825,0.306351169665834,0.268592051299917,0.109646309254966,0.125357067759749,0.104350186331553,0.1318990696043
"1008_f_at",1.09619606380257,0.503507351662537,0.541816834444657,1.0233368918578,0.167357854581998,0.171289738624482,0.161346429155906,0.143992101903113
"1009_at",0.565193658320489,0.485105892460259,0.361230461407098,0.332976625345426,0.187039038704776,0.245682059948599,0.097358736854442,0.128130971852996
"100_g_at",1.12961926830527,0.887120592295165,1.13868443287455,1.34501925476582,0.401469637362375,0.353182512740376,0.318065478918634,0.338471131066815
"1010_at",2.70598057884628,2.53154323041457,2.57416002247671,1.9637852420618,1.30552109328633,1.48169111976519,1.04462602329565,1.17204441328924
"1011_s_at",0.819597906966308,0.889038466945712,0.674424587451117,0.588821222190398,0.196674773042839,0.269762339502204,0.114996201888582,0.134867394356779
"1012_at",1.16975280885635,1.67359535680692,1.89245291678888,2.14789840376296,0.679283514796052,0.562658910625005,1.1752253806845,0.928625624225227
"1013_at",0.497136382951027,0.469425373443136,0.446021264956139,0.426869979945076,0.658961551950698,1.22012067042017,0.985717387982781,0.633383707096863
"1014_at",0.83389772693663,0.724812745827669,0.638965566397501,0.669367558138522,0.250045873270005,0.22669866334535,0.148146387732038,0.200033207115617
"1015_s_at",3.87821972368035,3.38558362854222,3.69446950114138,3.58817688686887,1.97266263621384,1.59276925276492,1.81649270842301,1.62478172022733
"1016_s_at",2.03150306577822,1.99211424874674,1.67864311098685,1.62263739307537,1.51275576096749,0.710445076865683,0.892417977896476,1.23004830732317
"1017_at",1.74038758891789,1.88029542699317,1.73280690500761,1.73000823868413,1.33236974957052,1.49555560595239,0.866954218645189,1.44637138467755
"1018_at",3.1746138250936,2.83024771101609,3.19564440806604,2.49414571561949,1.34330433169175,1.12664792984993,1.49410568084204,1.41497389209465
"1019_g_at",1.76603993684576,1.56664574042865,1.66395904932755,1.55079091973075,0.643340206910158,0.746264234104586,0.453918765266229,0.434682360955898
"101_at",3.12632000483057,3.25073253175061,3.37890625980747,2.69510269469734,2.20575653122369,1.96874795529777,1.65291721056999,2.45278497256206
"1020_s_at",0.220415759907716,0.207082105301901,0.257899193973608,0.24249090310604,0.0993242423576653,0.117067544072495,0.0902775723321994,0.116937466943174
"1021_at",1.50631713290425,1.36304912075907,1.91100904966858,1.73127795815271,0.45708128381779,0.445731919188619,0.414666990712563,0.375001993330383
"1022_f_at",2.49851972200677,2.39955365760049,2.73053179336582,2.0490554138942,1.63673482759888,1.8216739898578,1.77945590975233,1.1850820104724
"1023_at",4.24756010481824,4.42300323075822,4.33012416997861,3.58952177254813,2.34529618849536,2.58875319216459,2.22096555044647,2.65221412109776
"1024_at",2.7995347406305,2.19142450251509,3.7733855841937,3.26985423305712,0.870857791089135,1.45670878432189,2.16837269621453,1.92004964293744
"1025_g_at",0.46556003422449,0.4123174098752,0.86878693033559,0.939789973316156,0.172025865495925,0.233539512604197,0.340504137642593,0.391618849797885
"1026_s_at",3.83675879094041,3.06514411453794,3.2035434739431,2.98297368652807,1.22108705566686,0.805943051991722,0.85865892943006,0.882926599481072
"1027_at",3.84932048820781,4.25022432577439,4.08565167771673,3.09142340998101,2.27716608926751,2.52289316849948,1.89985110829592,2.02873468576801
"1028_at",2.94380699461314,2.53043315403454,1.91594005938679,2.31351013886258,0.961826790149166,1.12493511963234,0.60962902052787,0.526604877340474
"1029_s_at",2.18381237507082,2.32834147512834,2.17742111468364,2.18475644785283,1.18933188209734,1.43882682872208,1.17447750536885,0.761535211727869
"102_at",1.34863001079272,1.41181977646678,1.46768997516516,1.46058917575238,0.641347299669614,0.740340053540553,0.810236644030845,0.442593739199832
"1030_s_at",0.31102123883025,0.303396740637204,0.303166874645788,0.275642056506632,0.134314150399819,0.164755010941094,0.106122286327325,0.139750449227093
"1031_at",0.575782399941233,0.479955921155149,0.432817398557302,0.324906911426576,0.239130224991419,0.246301411135492,0.173641248927698,0.165996229234183
"1032_at",1.55081157583888,1.61562444111982,1.95854085058155,1.38769329065018,0.741145894344235,0.775320016161196,0.487960114487899,0.90047679670385
