"low10-1.cel","low10-2.cel","high10-1.cel","high10-2.cel","low48-1.cel","low48-2.cel","high48-1.cel","high48-2.cel"
"1000_at",7.04414853833753,7.00622012925401,6.38790061706761,6.90036430073994,10.117205709257,9.93728777354067,10.6966703178077,10.1546946054571
"1001_at",-1.53556619668417,-1.17753700180313,-1.75010027181245,0.778652245596581,5.31379458765352,3.57081764848976,1.83181054243085,5.5667614301905
"1002_f_at",-1.45715423694017,-0.74074063383894,-1.68173231552572,-0.308691506119717,1.95900968450725,2.03385120434996,3.45596536017384,2.60388446601748
"1003_s_at",-2.0247907295648,-0.246018321171326,0.0912972064875008,1.76591802062985,4.78368558492985,5.96257442867899,6.30656527536875,5.06153081508251
"1004_at",0.0781336326882016,0.438193312355518,-0.159915248177644,0.870247076075313,6.1173027618915,5.254765629752,6.7853966149035,7.08411633516313
"1005_at",5.3825455668954,5.47426173114682,3.27033202179171,3.90480428588578,8.93365028577948,8.90874438861263,6.84629762478085,7.15349856955739
"1006_at",0.784495030642896,0.784682555527767,1.12807459122469,1.74337347565106,5.84276728829258,5.39237225339247,4.97526072394763,4.69058372230211
"1007_s_at",8.96571606831185,9.07912124992271,8.55212039232989,8.95866296752091,11.5539814792469,11.2453934309238,11.7506572996845,11.2317342516261
"1008_f_at",5.53628738059923,7.60021794330178,7.39682718653295,5.94173344444422,10.8055074823364,10.7247190173177,10.9366998206708,11.2325884498941
"1009_at",7.17289900350795,7.52050464475081,8.22076687183635,8.54344811048129,10.3335040475048,9.76113797343432,12.0822220508185,11.3235705163247
"100_g_at",4.56369601942762,5.31346026391452,4.53927862258369,4.20014735112743,8.29551535774721,8.49505146895211,8.79532930792278,8.7275461518972
"1010_at",-0.784518138699515,-0.277330990365042,-0.425200026497798,1.42136287852057,4.27111723488868,3.7728763954966,5.21937203521815,4.96325393130031
"1011_s_at",5.362848582528,5.17299677714585,5.83197269557526,6.36371850039344,9.4909538612948,8.89683864661962,10.7491697976946,10.3796164023473
"1012_at",2.41595707708194,1.02994431013794,0.356222427084967,-0.10894759109309,5.42863038619984,5.84809474754123,3.86986101515105,4.69638802303831
"1013_at",3.14085627338242,3.28055236618376,3.29950824494941,3.65599325958907,4.19071548231739,2.17828149642637,3.1402254630041,4.35228055579577
"1014_at",5.12559580420789,5.51420962816245,5.75792741722167,5.90276476268032,8.86609782099624,9.02789581367328,9.90510384704091,9.40005488308369
"1015_s_at",-3.4410348584417,-2.14436581033663,-2.97339420165275,-2.5490961242256,2.50849608126222,3.77464089455655,3.05072720679235,3.75209249193389
"1016_s_at",-0.32739301203324,-0.200580597846447,0.628756608786479,1.05244689163153,2.29726021743245,5.10392626993813,4.55293187448554,3.41939426890407
"1017_at",0.863893618188422,0.490249238835771,0.851385047792286,1.08937206959265,3.31348283900023,2.76570584459443,4.9533277877309,2.98976182041419
"1018_at",-1.40614229815418,-0.472737274252059,-1.47742030076309,0.570648576447877,4.68348013851042,5.46124464923294,4.29040753513539,4.69726518995119
"1019_g_at",1.75683149340915,2.35807972232484,2.01758434879819,2.56582238669921,6.45806998728067,6.20339803611388,7.23055728705597,7.44804229860693
"101_at",-2.50128497043312,-2.79890532185568,-3.17396807746301,-1.14481749738896,0.781160797547488,1.53678593568883,2.65547398819283,0.0519958873216151
"1020_s_at",8.11917859536998,8.27730278334971,7.75609968855346,8.07713918162649,10.6835561703193,10.3044774751191,11.0116646913966,10.3759466423597
"1021_at",1.20771110690907,1.67761878785985,0.0362556712396487,0.82009039366095,6.03197087924596,6.06906037803045,6.27776156940296,6.47408186416169
"1022_f_at",-1.27516638221622,-0.970174586284873,-1.91886696226332,0.12668270246029,2.21968930823191,1.57395278693901,1.76563100419798,3.83737735334472
"1023_at",-4.55765232894849,-4.97981373817482,-4.76974327830439,-2.72574475001373,1.21967588506896,0.500887696190148,1.63859990350284,0.348311347016828
"1024_at",-0.631024410018706,1.02088966164914,-3.16293605881192,-1.71132389910537,6.02678137925188,4.18577681892448,1.95902269173119,2.75789408008649
